SPACEID,PHONEID
1,11
1,14
1,11
1,14
1,11
1,14
1,11
1,11
1,11
1,6
1,14
1,6
1,6
1,6
1,6
1,6
1,14
1,14
1,11
1,11
1,11
1,14
1,11
1,11
1,11
1,11
1,6
1,6
1,14
1,14
1,6
1,6
1,11
1,14
1,11
1,14
1,11
1,11
1,11
1,14
1,14
1,14
1,14
1,14
1,14
1,14
1,14
1,14
1,14
1,11
1,11
1,11
1,11
1,11
1,11
1,14
1,11
1,11
1,14
1,11
1,14
1,14
1,11
1,14
1,11
2,14
2,14
2,15
2,14
2,14
2,14
2,15
2,14
2,14
2,11
2,15
2,15
2,12
2,12
2,12
2,12
2,12
2,12
2,12
2,12
2,12
2,15
2,15
2,6
2,6
2,15
2,15
2,15
2,14
2,14
2,14
2,12
2,12
2,12
2,12
2,15
2,15
2,15
2,15
2,15
2,11
2,12
2,12
2,12
2,12
2,14
2,6
2,14
2,14
2,6
2,6
2,6
2,6
2,6
2,6
2,6
2,14
2,15
2,15
2,15
2,15
2,12
2,14
2,12
2,12
2,11
2,11
2,14
2,11
2,11
2,14
2,14
2,15
2,15
2,11
2,11
2,11
2,14
2,11
2,14
3,11
3,11
3,11
3,12
3,11
3,11
3,12
3,15
3,12
3,12
3,14
3,12
3,11
3,12
3,12
3,12
3,12
3,12
3,15
3,14
3,12
3,6
3,11
3,11
3,11
3,14
3,12
3,11
3,11
3,11
3,11
3,11
3,11
3,11
3,11
3,11
3,11
3,11
3,11
3,11
3,11
3,11
3,11
3,11
3,14
3,12
3,6
3,14
3,15
3,11
3,12
3,14
3,14
3,14
3,14
3,14
3,14
3,14
3,14
3,14
3,14
3,12
3,11
3,11
3,11
3,14
3,14
3,14
3,11
3,11
3,11
3,14
3,11
3,11
3,11
3,11
3,14
3,14
3,14
3,14
3,15
3,12
3,15
3,12
3,11
3,15
3,12
3,11
3,15
3,15
3,15
3,11
3,12
3,14
3,14
3,15
3,14
4,6
4,15
4,6
4,12
4,6
4,6
4,6
4,12
4,12
4,15
4,15
4,15
4,12
4,6
4,12
4,12
4,12
4,15
4,14
4,14
4,14
4,14
4,14
4,14
4,14
4,12
4,12
4,6
4,12
4,12
4,12
4,14
4,12
4,12
4,12
4,12
4,12
4,12
4,15
4,15
4,12
4,6
4,11
4,14
4,14
4,14
4,14
4,14
4,14
4,14
4,11
4,11
4,11
4,14
4,11
4,11
4,14
4,11
4,11
4,14
4,11
4,6
4,11
4,11
4,14
4,14
4,14
4,14
4,14
4,14
4,14
4,6
4,11
4,11
4,14
4,11
4,15
4,12
4,15
4,15
4,11
4,11
4,11
4,11
4,14
4,11
4,11
4,14
4,14
4,14
4,14
4,14
4,14
4,14
4,14
5,14
5,14
5,12
5,12
5,12
5,14
5,14
5,12
5,12
5,12
5,12
5,12
5,12
5,12
5,14
5,14
5,14
5,14
5,14
5,12
5,14
5,14
5,12
5,12
5,12
5,14
5,12
5,12
5,12
5,12
5,14
5,12
5,14
5,14
5,14
5,14
5,14
5,12
5,14
5,14
5,11
5,11
5,11
5,11
5,11
5,11
5,11
5,11
5,15
5,15
5,15
5,15
5,11
5,15
5,15
5,15
5,15
5,15
5,11
5,15
6,14
6,11
6,14
6,11
6,11
6,14
6,14
6,14
6,12
6,14
6,14
6,12
6,14
6,11
6,11
6,11
6,11
6,14
6,11
6,11
6,12
6,11
6,11
6,11
6,11
6,11
6,11
6,11
6,11
6,11
6,11
6,14
6,11
6,11
6,15
6,11
6,11
6,11
6,11
6,11
6,11
6,12
6,12
6,12
6,11
6,15
6,12
6,12
6,12
6,12
6,12
6,12
6,15
6,12
6,12
6,15
6,12
6,12
6,12
6,12
6,15
6,12
6,15
6,11
6,15
6,14
6,14
6,14
6,14
6,15
6,14
6,14
6,14
6,14
6,14
6,15
6,14
6,12
6,15
7,12
7,12
7,11
7,12
7,12
7,11
7,12
7,12
7,12
7,11
7,12
7,12
7,12
7,12
7,12
7,11
7,12
7,15
7,15
7,15
7,15
7,15
7,15
7,15
7,15
7,11
7,15
7,15
7,12
7,12
7,12
7,11
7,11
7,12
7,12
7,11
7,12
7,12
8,11
8,11
8,11
8,11
8,11
8,11
8,11
8,11
8,12
8,11
8,12
8,12
8,12
8,12
8,11
8,12
8,12
8,11
8,11
8,11
8,11
8,11
8,11
8,12
8,12
8,12
8,12
8,11
8,11
8,12
8,11
8,15
8,12
8,12
8,12
8,12
8,11
8,15
8,11
8,12
8,15
8,12
8,15
8,11
8,15
8,11
8,12
8,11
8,15
8,11
8,15
8,15
8,15
8,15
8,11
8,11
9,12
9,15
9,12
9,9
9,12
9,9
9,9
9,9
9,15
9,15
9,12
9,12
9,9
9,15
9,12
9,12
9,15
9,12
9,12
9,15
9,15
9,9
9,12
9,9
9,15
9,9
9,9
9,9
9,12
9,3
9,3
9,3
9,3
9,3
9,3
9,3
9,3
9,3
9,3
9,12
9,9
9,9
9,15
9,12
9,9
9,12
9,12
9,12
9,9
9,9
9,9
9,9
9,12
9,12
9,12
9,9
9,9
9,15
9,12
9,9
10,12
10,15
10,15
10,15
10,15
10,15
10,15
10,15
10,15
10,15
10,15
10,15
10,15
10,15
10,15
10,3
10,12
10,15
10,3
10,3
10,12
10,9
10,15
10,15
10,3
10,15
10,9
10,9
10,9
10,9
10,9
10,9
10,15
10,12
10,12
10,12
10,3
10,3
10,12
10,12
10,12
10,12
10,15
10,3
10,3
10,15
10,12
10,15
10,15
10,12
10,12
10,12
10,12
10,12
10,3
10,3
10,3
10,3
10,3
10,3
10,3
10,3
10,3
10,15
10,15
10,3
10,15
10,3
10,3
10,15
10,15
10,15
10,12
10,12
10,12
10,3
10,3
10,9
10,9
10,3
10,3
10,3
10,3
10,3
10,12
10,3
10,15
10,3
10,3
11,14
11,14
11,14
11,14
11,14
11,14
11,14
11,14
11,14
11,14
11,14
11,14
11,14
11,14
11,14
11,14
11,14
12,11
12,11
12,11
12,11
12,11
12,14
12,14
12,14
12,11
12,11
12,11
12,14
12,14
12,11
12,14
12,14
12,14
12,14
12,11
12,14
13,6
13,6
13,6
13,6
13,6
13,11
13,14
13,14
13,14
13,14
13,14
13,14
13,14
13,11
13,11
13,11
13,6
13,11
13,6
13,11
13,14
13,6
13,11
13,11
13,11
13,11
13,11
13,11
13,11
13,14
13,11
13,11
13,11
13,11
13,6
13,11
13,11
13,11
13,14
14,14
14,14
14,14
14,14
14,14
14,14
14,14
14,14
14,14
14,14
14,14
14,14
15,15
15,9
15,15
15,15
15,15
15,9
15,15
15,15
15,15
15,9
15,9
15,9
15,15
15,15
15,9
15,9
15,15
15,15
15,15
15,9
15,15
15,15
15,15
15,15
15,9
15,15
15,15
15,15
15,15
15,9
16,15
16,15
16,15
16,15
16,15
16,15
16,15
16,15
16,15
16,15
16,15
16,15
16,15
16,9
16,9
16,15
16,15
16,15
16,15
16,15
16,15
16,15
16,11
16,11
16,11
16,11
16,11
16,11
16,11
16,11
16,9
16,9
16,11
16,9
16,9
16,9
16,11
16,9
16,9
16,9
16,9
16,9
17,15
17,15
17,15
17,15
17,15
17,15
17,15
17,15
17,15
17,15
17,15
17,15
17,15
17,15
17,15
17,15
17,15
17,9
17,9
17,9
17,15
17,15
17,9
17,9
18,15
18,15
18,15
18,15
18,15
18,15
18,15
18,15
18,15
18,15
18,15
18,15
18,15
18,15
18,15
18,15
18,15
18,15
18,15
19,9
19,9
19,9
19,9
19,9
19,9
19,9
19,9
19,9
19,9
19,9
19,9
19,9
19,9
19,9
19,9
19,9
19,9
19,9
19,9
19,9
19,9
19,9
19,9
19,9
19,9
19,9
19,9
19,9
19,9
19,9
19,9
19,9
19,9
19,9
19,9
19,9
19,9
19,9
19,9
19,9
19,9
19,9
19,9
19,9
19,9
19,9
19,9
19,9
20,15
20,15
20,15
20,15
20,15
20,15
20,15
20,15
20,15
20,15
21,11
21,11
21,11
21,11
21,11
21,11
21,11
21,11
21,11
21,11
21,11
21,11
21,11
21,11
21,11
21,11
21,11
21,11
21,11
22,9
22,15
22,15
22,9
22,11
22,15
22,15
22,15
22,15
22,15
22,15
22,15
22,11
22,9
22,9
22,9
22,9
22,9
22,9
22,9
22,9
22,15
23,15
23,15
23,15
23,15
23,11
23,15
23,11
23,15
23,11
23,11
23,15
23,15
23,11
23,11
23,15
23,15
23,15
24,15
24,15
24,15
24,15
24,15
24,15
24,15
24,15
24,15
24,15
24,15
24,15
24,15
24,15
24,15
24,15
24,15
25,9
25,9
25,9
25,9
25,9
25,9
25,9
25,9
25,9
25,9
25,9
25,9
25,9
25,9
25,9
25,9
25,9
25,9
25,9
25,9
25,9
25,9
25,15
25,15
25,15
25,15
25,15
25,9
25,15
25,9
25,15
25,9
25,15
25,15
25,9
25,15
25,9
25,9
25,9
25,9
25,9
25,9
25,9
25,9
25,9
25,9
25,9
25,9
25,9
25,9
25,9
25,9
25,9
25,9
25,9
25,9
25,9
25,9
25,9
25,9
25,9
25,9
25,9
25,9
25,9
25,9
25,9
25,9
25,9
25,9
25,9
25,9
25,9
25,9
25,15
25,15
25,15
25,15
25,15
25,15
25,9
25,9
25,15
25,15
25,9
25,15
25,15
25,9
25,9
25,9
25,9
25,9
25,9
25,9
26,11
26,11
26,11
26,11
26,11
26,11
26,11
26,11
26,11
26,11
26,11
26,11
26,11
26,11
26,11
26,11
26,11
26,11
26,11
26,11
26,11
26,11
27,9
27,9
27,9
27,9
27,9
27,9
27,9
27,9
27,9
27,9
27,9
27,9
27,9
27,9
27,9
27,9
27,9
27,9
27,9
27,9
27,9
27,9
27,9
27,9
27,9
27,9
27,9
27,9
27,9
27,9
27,9
27,9
27,9
27,9
27,9
27,9
27,9
27,9
27,9
27,9
27,9
27,9
27,9
27,9
27,9
27,9
27,9
27,9
27,9
27,9
27,9
27,9
27,9
27,9
27,9
27,9
27,9
27,9
28,9
28,9
28,9
28,9
28,9
28,9
28,9
28,9
28,9
28,9
29,9
29,9
29,9
29,9
29,9
29,9
29,9
29,9
29,9
29,9
30,8
30,9
30,4
30,4
30,4
30,4
30,4
30,4
30,4
30,4
30,4
30,4
30,1
30,4
30,8
30,1
30,7
30,7
30,9
30,9
30,4
30,4
30,4
30,4
30,4
30,7
30,7
30,9
30,7
30,8
30,9
30,8
30,9
30,9
30,7
30,4
30,7
30,4
30,4
30,4
30,4
30,4
30,4
30,4
30,4
30,8
30,7
30,7
30,7
30,7
30,8
30,8
30,8
30,8
30,4
30,8
30,4
30,4
30,4
30,8
30,7
30,4
30,4
30,4
30,4
30,4
30,1
30,8
30,4
30,1
30,7
30,7
30,4
30,4
30,4
30,7
30,7
30,8
30,8
30,8
30,8
30,8
30,8
30,8
30,8
30,8
30,8
